2026;05;2605;10943780;10471537;186213;161.41;184.35;184.35
2026;05;2605;11014361;10599589;1002027;7250.08;10644.36;10644.36
2026;05;2605;11014361;10599589;926364;506.10;1723.08;1723.08
2026;05;2605;11014361;10599589;640116;1367.83;4656.98;4656.98
2026;05;2605;11014361;10599589;871874;14840.96;50528.25;50528.25
2026;05;2605;11014361;10599589;943470;671.35;985.65;985.65
2026;05;2605;11014361;10599589;865983;965.29;1417.21;1417.21
2026;05;2605;11014361;10599589;865981;1474.87;2165.37;2165.37
2026;05;2605;11014361;10599589;948045;3398.72;4989.90;4989.90
2026;05;2605;11014361;10599589;819148;6729.15;9879.54;9879.54
2026;05;2605;11014361;10599589;865982;3600.76;5286.53;5286.53
2026;05;2605;11014361;10599589;819150;8890.73;13053.12;13053.12
2026;05;2605;11014361;10599589;819149;14870.39;21832.27;21832.27
2026;05;2605;10943780;11026589;1017342;49.66;56.72;56.72
2026;05;2605;10943780;10770776;7567;1192.53;1362.05;1362.05
2026;05;2605;10943780;10770776;813252;2479.22;2831.64;2831.64
2026;05;2605;10943780;10770776;88466;7187.34;8209.04;8209.04
2026;05;2605;10943780;10770776;828708;10732.74;12258.42;12258.42
2026;05;2605;10943780;10770776;532517;6662.71;7609.82;7609.82
2026;05;2605;10943780;10770776;828707;13117.80;14982.51;14982.51
2026;05;2605;10943780;10770776;479931;9956.35;11371.66;11371.66
2026;05;2605;10943780;10770776;942551;41698.97;47626.53;47626.53
2026;05;2605;10943780;10770776;991544;22457.10;25649.41;25649.41
2026;05;2605;10943780;10770776;942549;52444.97;59900.09;59900.09
2026;05;2605;10943780;10770776;991543;25665.26;29313.61;29313.61
2026;05;2605;10943780;10770776;991542;33690.68;38479.85;38479.85
2026;05;2605;10943780;10770776;942550;70696.42;80746.01;80746.01
2026;05;2605;10943780;10770776;942548;82243.25;93934.24;93934.24
2026;05;2605;10943780;10770776;768770;1083.91;1237.99;1237.99
2026;05;2605;10943780;10770776;696928;2123.13;2424.93;2424.93
2026;05;2605;10943780;10770776;214955;6034.15;6891.91;6891.91
2026;05;2605;10943780;10770776;168801;9849.75;11249.90;11249.90
2026;05;2605;11048289;10895328;1003122;364.35;420.14;420.14
2026;05;2605;11048289;10895328;1003120;482.46;556.33;556.33
2026;05;2605;11048289;10895328;1003119;704.29;812.13;812.13
2026;05;2605;11048289;10895328;1003124;832.86;960.38;960.38
2026;05;2605;11048289;10895328;1003123;781.87;901.58;901.58
2026;05;2605;10943780;10612715;945584;898.23;1025.92;1025.92
2026;05;2605;10943780;10612715;945583;3048.92;3482.33;3482.33
2026;05;2605;10943780;1456;755151;134.02;153.07;153.07
2026;05;2605;10943780;1456;755152;295.50;337.51;337.51
2026;05;2605;10943780;1456;639836;901.62;1029.79;1029.79
2026;05;2605;10943780;1456;639835;911.53;1041.10;1041.10
2026;05;2605;10943780;1456;949976;827.80;945.47;945.47
2026;05;2605;11048289;1456;921795;2463.29;2840.44;2840.44
2026;05;2605;11048289;1456;942625;5550.68;6400.55;6400.55
2026;05;2605;11048289;1456;942624;5578.57;6432.71;6432.71
2026;05;2605;11048289;1456;947889;5238.28;6040.32;6040.32
2026;05;2605;11048289;1456;949975;2135.55;2462.52;2462.52
2026;05;2605;11048289;1456;983685;2091.96;2412.27;2412.27
2026;05;2605;10943780;1456;478565;1871.18;2137.17;2137.17
2026;05;2605;11048289;1456;175628;2157.34;2487.65;2487.65
2026;05;2605;11048289;1456;949978;3882.68;4477.17;4477.17
2026;05;2605;11048289;1456;478576;2855.53;3292.74;3292.74
2026;05;2605;11048289;1456;980863;2855.53;3292.74;3292.74
2026;05;2605;11048289;1456;478571;2855.53;3292.74;3292.74
2026;05;2605;11048289;1456;950961;2954.38;3406.72;3406.72
2026;05;2605;11048289;1456;950960;2943.39;3394.06;3394.06
2026;05;2605;11048289;1456;947890;10415.19;12009.87;12009.87
2026;05;2605;11048289;1456;933618;4997.47;5762.64;5762.64
2026;05;2605;11048289;1456;949977;4271.09;4925.04;4925.04
2026;05;2605;11048289;1456;915537;6494.07;7488.38;7488.38
2026;05;2605;11048289;1456;1016879;6501.82;7497.33;7497.33
2026;05;2605;11048289;1456;593993;2158.91;2489.46;2489.46
2026;05;2605;11048289;1456;920843;6142.53;7083.02;7083.02
2026;05;2605;11048289;1456;957511;4471.57;5156.22;5156.22
2026;05;2605;11048289;1456;31566;4157.78;4794.38;4794.38
2026;05;2605;11048289;1456;31576;4095.02;4722.01;4722.01
2026;05;2605;10943780;1456;921794;3128.82;3573.59;3573.59
2026;05;2605;11048289;1456;933619;7757.70;8945.49;8945.49
2026;05;2605;11048289;1456;17332;7583.37;8744.47;8744.47
2026;05;2605;10943780;1456;942624;8343.52;9529.56;9529.56
2026;05;2605;10943780;1456;786390;3100.88;3541.68;3541.68
2026;05;2605;11048289;1456;786391;5754.99;6636.15;6636.15
2026;05;2605;11048289;1456;922719;5733.03;6610.82;6610.82
2026;05;2605;11048289;1456;941456;5634.18;6496.84;6496.84
2026;05;2605;11048289;1456;983684;5645.16;6509.50;6509.50
2026;05;2605;11048289;1456;924576;5711.06;6585.49;6585.49
2026;05;2605;11048289;1456;786389;5754.99;6636.15;6636.15
2026;05;2605;10943780;1456;890068;4221.42;4821.50;4821.50
2026;05;2605;11048289;1456;949468;5062.55;5837.69;5837.69
2026;05;2605;10943780;1456;983685;4447.39;5079.60;5079.60
2026;05;2605;10943780;1456;949978;5807.09;6632.57;6632.57
2026;05;2605;11048289;1456;933620;14105.07;16264.71;16264.71
2026;05;2605;11048289;1456;920842;14521.72;16745.15;16745.15
2026;05;2605;10943780;1456;947889;12311.46;14061.55;14061.55
2026;05;2605;11048289;1456;920841;12285.06;14166.04;14166.04
2026;05;2605;10943780;1456;786388;5168.14;5902.80;5902.80
2026;05;2605;11048289;1456;980864;8665.44;9992.21;9992.21
2026;05;2605;10943780;1456;949975;5475.43;6253.77;6253.77
2026;05;2605;10943780;1456;949977;5475.43;6253.77;6253.77
2026;05;2605;10943780;1456;921795;7578.89;8656.24;8656.24
2026;05;2605;10943780;1456;911488;2864.21;3271.36;3271.36
2026;05;2605;10943780;1456;924577;7498.44;8564.35;8564.35
2026;05;2605;10943780;1456;17333;5112.27;5838.98;5838.98
2026;05;2605;10943780;1456;911499;4693.23;5360.38;5360.38
2026;05;2605;10943780;1456;971195;4974.82;5682.00;5682.00
2026;05;2605;10943780;1456;943183;4927.89;5628.40;5628.40
2026;05;2605;10943780;1456;950961;5049.91;5767.77;5767.77
2026;05;2605;10943780;1456;925333;4834.03;5521.19;5521.19
2026;05;2605;11048289;1456;478563;11290.33;13019.00;13019.00
2026;05;2605;10943780;1456;942625;20161.52;23027.50;23027.50
2026;05;2605;10943780;1456;924575;9341.76;10669.70;10669.70
2026;05;2605;10943780;1456;478576;6101.20;6968.49;6968.49
2026;05;2605;10943780;1456;478571;7321.44;8362.19;8362.19
2026;05;2605;10943780;1456;1016879;14818.09;16924.50;16924.50
2026;05;2605;10943780;1456;593993;5535.33;6322.18;6322.18
2026;05;2605;10943780;1456;950960;8804.50;10056.07;10056.07
2026;05;2605;10943780;1456;175628;9218.84;10529.31;10529.31
2026;05;2605;10943780;1456;947890;32267.36;36854.21;36854.21
2026;05;2605;10943780;1456;31566;10660.33;12175.72;12175.72
2026;05;2605;10943780;1456;980863;10982.16;12543.28;12543.28
2026;05;2605;11048289;1456;64712;25946.89;29919.65;29919.65
2026;05;2605;10943780;1456;920843;16624.09;18987.22;18987.22
2026;05;2605;10943780;1456;915537;23287.36;26597.68;26597.68
2026;05;2605;10943780;1456;933619;22100.39;25241.99;25241.99
2026;05;2605;10943780;1456;31576;13124.28;14989.91;14989.91
2026;05;2605;10943780;1456;786389;13506.37;15426.32;15426.32
2026;05;2605;10943780;1456;983684;13267.76;15153.79;15153.79
2026;05;2605;10943780;1456;941456;14445.76;16499.24;16499.24
2026;05;2605;10943780;1456;933618;24558.75;28049.81;28049.81
2026;05;2605;10943780;1456;957511;17197.33;19641.96;19641.96
2026;05;2605;10943780;1456;786391;15965.62;18235.15;18235.15
2026;05;2605;10943780;1456;942623;81793.92;93421.03;93421.03
2026;05;2605;10943780;1456;920841;28873.42;32977.81;32977.81
2026;05;2605;10943780;1456;980864;19749.11;22556.47;22556.47
2026;05;2605;10943780;1456;949468;17306.84;19767.03;19767.03
2026;05;2605;10943780;1456;922719;25023.63;28580.77;28580.77
2026;05;2605;11048289;1456;839544;65401.85;75415.60;75415.60
2026;05;2605;10943780;1456;478563;25329.36;28929.96;28929.96
2026;05;2605;10943780;1456;924576;26845.27;30661.36;30661.36
2026;05;2605;10943780;1456;920842;49643.93;56700.88;56700.88
2026;05;2605;10943780;1456;17332;46448.07;53050.72;53050.72
2026;05;2605;10943780;1456;933620;50090.16;57210.55;57210.55
2026;05;2605;10943780;1456;839544;230618.57;263401.30;263401.30
2026;05;2605;10943780;1456;64712;214363.23;244835.25;244835.25
2026;05;2605;10943780;10868158;928500;6.98;7.97;7.97
2026;05;2605;11048289;10868158;928505;12.00;13.84;13.84
2026;05;2605;10943780;10868158;928501;13.93;15.91;15.91
2026;05;2605;11048289;10868158;928499;31.15;35.92;35.92
2026;05;2605;10943780;10868158;933442;16.64;19.00;19.00
2026;05;2605;10943780;10868158;928495;3.82;4.36;4.36
2026;05;2605;10943780;10868158;928515;37.97;43.37;43.37
2026;05;2605;10943780;10868158;929034;31.51;35.99;35.99
2026;05;2605;10943780;10868158;928492;10.43;11.91;11.91
2026;05;2605;10943780;10868158;928505;123.07;140.56;140.56
2026;05;2605;10943780;10868158;928499;312.78;357.25;357.25
2026;05;2605;11048289;10675245;991132;3.70;4.27;4.27
2026;05;2605;10943780;10675245;991132;62.27;71.12;71.12
2026;05;2605;11048289;10804518;609755;143.82;165.84;165.84
2026;05;2605;11048289;10804518;960499;36.83;42.47;42.47
2026;05;2605;11048289;10804518;609754;272.39;314.10;314.10
2026;05;2605;10943780;10804518;960499;91.80;104.85;104.85
2026;05;2605;10943780;10804518;609754;987.07;1127.38;1127.38
2026;05;2605;10943780;10804518;609755;804.55;918.92;918.92
2026;05;2605;11048289;10804518;1010774;130.75;150.77;150.77
2026;05;2605;11048289;10804518;782529;303.63;350.11;350.11
2026;05;2605;11048289;10804518;586664;391.52;451.46;451.46
2026;05;2605;11048289;10804518;382767;479.41;552.81;552.81
2026;05;2605;11048289;10804518;724614;511.37;589.67;589.67
2026;05;2605;11048289;10804518;339961;567.30;654.16;654.16
2026;05;2605;11048289;10804518;382763;610.16;703.58;703.58
2026;05;2605;11048289;10804518;339969;631.22;727.87;727.87
2026;05;2605;11048289;10804518;50793;1054.70;1216.18;1216.18
